username,shortcode,videoUrl,reason
lexi_marvel,Db6LvldBh0K,https://scontent-cph2-1.cdninstagram.com/o1/v/t2/f2/m86/AQN8ylpAEwcEYjSyfNbL7saY1FJjmV3wbtmt0-omEjzDh1AipTnaVG5tbYcyrIv1fNCEz3Fwhpv9cPZf8hx9b0wyFFFZhUMGSAwBZmU.mp4?_nc_cat=104&_nc_sid=5e9851&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_ohc=_T-eCJ7g8dYQ7kNvwF0EERC&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTAyMTA0MDA2NzU4MDEwMywiYXNzZXRfYWdlX2RheXMiOjM4LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6OSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=f0c3a66ff0d90936&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8zMzQ5QTcwRDEzRDEwOEI4NkFEOTEwNTc3NDlBNDZBRF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0UwNDEyQjRBRjE4MTRCOTExNUM5OTJGQTIzNzg5NTlCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaOw7yorajQAxUCKAJDMywXQCJ3S8an754YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=fkS4B2nOUTFGB5-yNTgoYA&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQJkFrTV_INJL_-ySWSvYkS2MtSexRaO2O9WloPbH9Nlmg&oe=6AB04989,http 403 (videoUrl expired or blocked)
imyourmoonaria,DV52I8Tje6u,https://scontent-cph2-1.cdninstagram.com/o1/v/t2/f2/m86/AQMHZH7yJxApZl8LI6s5Q8gC9lfkXzPLsevKJVl8wIHTCOhzIjLGa0Edfy5lUOSBlSPu7Z5k_HEQCobsrKHBwD2n3Mz-BEvFUQg8cvc.mp4?_nc_cat=111&_nc_sid=5e9851&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_ohc=fJAv5-_a8kcQ7kNvwH-FAjH&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTc4NTEyMjMyMjY2ODc3MzAsImFzc2V0X2FnZV9kYXlzIjoxODgsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjoxNCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=958868054d929b0&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9GODQ1RkE4MTRFMEMwRTYxNjQ0MDQzQUZEODJDQ0I4OV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzJFNEYxM0NEREJBREQ0RDBDMjU4QzkyMjhBQkZEREExX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbkg92z-eW1PxUCKAJDMywXQC3dsi0OVgQYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=BZoLxJuqpSe_M2UmufYS6w&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQIkoyjltj4LP1WHuvF57CzUUhNvLkyQzToVG20L6R1S5g&oe=6AB061B8,http 403 (videoUrl expired or blocked)
sarahtrnerr_,Da_mgtIzV_X,https://scontent-arn2-1.cdninstagram.com/o1/v/t2/f2/m86/AQNVFew-ZcSiEJ9kDlMikxIJtX4cIEB68gtkDtJm37xtth5WYIZbcZQ1rG2yZKvD2e9YJdJ0ggpAdCwmRW_HvtQD83GUuWFYzWGUGhA.mp4?_nc_cat=109&_nc_sid=5e9851&_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_ohc=f9WWikARuR0Q7kNvwGY2w6S&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTA1MzUxODIzMzgwMDU0OCwiYXNzZXRfYWdlX2RheXMiOjYxLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=e4f0226b11bf17dc&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC81MzRBM0NDNDNDN0JDRDBEQzQ3MThFRTE4Q0VCNzY5RF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0M0NDJENUQ1QjMxMTdFNjVEMDFCNzA4QTZCNTVFNjhDX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbIvbjB6orfAxUCKAJDMywXQCWZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=GivJ_sWqlDURA2Vm3LQtsw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQJAi_mz09sxbKA8snVeDv0fCPr-OUVNtg4-7siIdHAbGw&oe=6AB04D36,http 403 (videoUrl expired or blocked)
evasavagiou,Dc0bLOOIIdA,https://scontent-cph2-1.cdninstagram.com/o1/v/t16/f2/m84/AQM06mxr6nRUOxmZ77rOcgay6OTVP6vapTb4qF4O-D2nsTI_ph3AfrvmIYA7htLdhXDgojqbE1gszLlTZE-P1qsUqUyvb5jfcXu8SE8.mp4?_nc_cat=100&_nc_sid=5e9851&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_ohc=LZ64tcuCU6UQ7kNvwE_cvQb&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjI3MDUzNTU5MzcwOTYwMiwiYXNzZXRfYWdlX2RheXMiOjE2LCJ2aV91c2VjYXNlX2lkIjoxMDgyNywiZHVyYXRpb25fcyI6OSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=32b9e72cb726ecac&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9FNTRDQjY5QkVEODU2OUQ5MEEyNjZBNDA4NDk4RjE5N192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0E2NEQzRENDNTVFMEVCMzlEQzM4MzE0REU1ODI1RjlBX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbEwJq4yMKICBUCKAJDMywXQCJU_fO2RaIYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=3gbqGh-U0GXwAUgjCZ2UZg&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLHvKwKIxLFw8WLyIaZc1BRoG17zXX3rSt6_4CIi7sG8g&oe=6AB06B80,http 403 (videoUrl expired or blocked)
michellediaz_x,DcGqkA0xfAp,https://scontent-cph2-1.cdninstagram.com/o1/v/t16/f2/m84/AQPcwYfSGgdPyEdiO9BrYAwLQzbqp1Rmfo4X6YgmpUkDTsmg3hwFNOBDiVE1XDBTPcdpMA4StsY00yhXr1Qqfkh1Q24UIjUgiTENWyI.mp4?_nc_cat=108&_nc_sid=5e9851&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_ohc=VyPImVHmsugQ7kNvwGRZWeC&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjMyMzUxOTAzMTc5MTIzNywiYXNzZXRfYWdlX2RheXMiOjMzLCJ2aV91c2VjYXNlX2lkIjoxMDgyNywiZHVyYXRpb25fcyI6MTMsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=b82ec1c8300119fe&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9CQzQ5NTZCODM2OTY0ODJBQjcwRjAwRTEyNkFGMTZBNl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzVCNDcxQTI0RDY1RTE1QTZGODIwM0QyMTNFOEEzRjkyX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaKuqbozc6gCBUCKAJDMywXQCuZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=h1rSYKDX12BZW7xI1E1yjQ&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQKvnoX-U4WELnt9SZJB_iDxa7sIJrI6rsv5ByJpvoDxNw&oe=6AB06634,http 403 (videoUrl expired or blocked)
karina_marukyan,DaknAqQMB4b,https://scontent-cph2-1.cdninstagram.com/o1/v/t2/f2/m86/AQOc38r0yTg5i1bABtUrGN-DonH1kUGnW8GeIlZ36phRZoaGeCRQNubxj1hnIKXe4T5cdClUhk18zKiwHLoiFGd9HVJBKKSQiKxhuIQ.mp4?_nc_cat=107&_nc_sid=5e9851&_nc_ht=scontent-cph2-1.cdninstagram.com&_nc_ohc=LcKV_ne6WqMQ7kNvwEiMDyW&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjA0Mzc5OTc3Mjg4NTU2MywiYXNzZXRfYWdlX2RheXMiOjcxLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6NiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=b71e4d6bb4ddca28&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC84QTQxQjU0OEExNEFDMzBDNjZGMTU5RjRBQzdFNzlCQl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzI1NDQ1MTdGQjg0Rjk0RjNBNjEwM0U5NjdCNzE4NDhCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACb2yKP35rShBxUCKAJDMywXQBhDlYEGJN0YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=TsM3vY7RfZHyjtKoNwYu4g&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQJHXr4DizunCBaKieOYeMKMENRcQnR_GxyA9PKi7g8r9w&oe=6AB05938,http 403 (videoUrl expired or blocked)
basedxrosie,DaAqB32w2Q4,https://scontent-hel3-1.cdninstagram.com/o1/v/t2/f2/m86/AQPRjhH9Jv0TPz7s21aKic0ufWH2X499OXuXLkbuxyilpcTWDJhKXD85ogKgEtdZhzLS_W1IO_FyDfr3vKylc9eF6__D3kpEllP6bY0.mp4?_nc_cat=101&_nc_sid=5e9851&_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_ohc=g7_JugWJ0IIQ7kNvwEFsZLj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTYzMTI2MTQzMjM0MDE4OSwiYXNzZXRfYWdlX2RheXMiOjg1LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=8943d33175bf1778&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9CQzRDRTQ5NkQzQTE1N0Y4NTI5N0Y4RjRDQjk0Mzg4Ml92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0U1NDUyQjZGNjEzNzZFMjc2QUYxOEI0QzUyNTQ5NzlBX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACa6-67j9OflBRUCKAJDMywXQCQhysCDEm8YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=uMLmxumM5GnKgC6DyX5KIQ&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLYQDaH1wkvnSfaMzE79kFfpIsRPWuiBNrWFSocRf_2Gw&oe=6AB044EE,http 403 (videoUrl expired or blocked)
cecerose,Dc_LrwRqv5v,https://scontent-arn2-1.cdninstagram.com/o1/v/t2/f2/m86/AQPQC1HhLZB4CUFemDQZAjtCkIlYjk5gVQgLsRPwXHWOREHRAiCQRj32newt8_iWi-lSacyhNDE4Y8j1mPOUF_GE5PsGamWZAQs4viA.mp4?_nc_cat=111&_nc_sid=5e9851&_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_ohc=Z8E4FRvlPkcQ7kNvwFFXKV3&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6Mjc1NjgzOTExNzYxNzI2MDksImFzc2V0X2FnZV9kYXlzIjoxMSwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjMsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=a797b2d513f81dc4&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9BMzRCRTQxNTAxNDQ4NEVDNkUzQ0FFN0I3Q0I1ODE5Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0VBNERCNzhDOUQ1RDM3QzQzODY0N0VBNzQyREQyRUI1X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaC0a2xyNP4YRUCKAJDMywXQAlT987ZFocYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=OFNveJkTytvEfB8mVx8jnw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQI-kU13F7zw5ZUVEpH95Qac798vGD957DnyRE6UdSuhzA&oe=6AB06B64,http 403 (videoUrl expired or blocked)
alessi.vice,Db3aXBPR74C,https://scontent-arn2-1.cdninstagram.com/o1/v/t2/f2/m86/AQMzfiNfg74dBo42KRHlM4iCeRmb-QFkvxRadzQMVsGIQ6Mqw0WNoZAEP1oQtOjO_MSh1rEhWKCXdI2R9dxJk9ugXGh90rIrwJ5fCMk.mp4?_nc_cat=111&_nc_sid=5e9851&_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_ohc=jK6WJHFgGV4Q7kNvwHzIQ01&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTc3NTk3OTIzMzQ5MDE5MCwiYXNzZXRfYWdlX2RheXMiOjM5LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6NSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=1d72abeda4e27a5b&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9BRTREQUZEQjZGRjA5QkYzNDhDQTI5QTRGQTFEMTNCMF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0EzNDNBNTU4MEEyNTMxMDJGNEZBQUQzQ0NEMzk1RjlDX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACac1Lm1zM-nBhUCKAJDMywXQBZmZmZmZmYYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=AmNHeixGYo-IdU8UhxfnDg&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQIzPx09kvTA7EgBQAqmVhiyrXBTbvhWmcgAIlUCwQ7LbA&oe=6AB052B0,http 403 (videoUrl expired or blocked)
valentinabrunno,DZ-SLvXtsYD,https://scontent-arn2-1.cdninstagram.com/o1/v/t2/f2/m86/AQPHhpLdicUhlL5uMXg7BqTUkfPEUHdz9zaAPnn0BWQHfFdL76uREiH-Nl4H4alwUZ_SqjBJcUoifZGxLHLVDCWdz9sKETZrFkHh3Y0.mp4?_nc_cat=104&_nc_sid=5e9851&_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_ohc=j863sT1phOkQ7kNvwErlQxn&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTYyNTYzOTcyODUyNDI4NiwiYXNzZXRfYWdlX2RheXMiOjg2LCJ2aV91c2VjYXNlX2lkIjoxMDgyNywiZHVyYXRpb25fcyI6MTAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=5a85289ea3aecb4e&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9DMTQxRDc4NzJCODdDQzUzMjRBQjM3MTE4QjEyQkVCOV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzVENEUwMzZBRDgwQ0I1RTJCNjQ0QzZBM0UyQTg3NEIyX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACb8r-no16DjBRUCKAJDMywXQCSIMSbpeNUYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=wKY6u8DEQmPNhzCrdaj4Jw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLmtfEDfPTmq1tUi8wWsjewZEHe7zunsG18uliPeowWNg&oe=6AB06FC5,http 403 (videoUrl expired or blocked)
