username,external_url,reason
1finesse2tymes,https://music.apple.com/us/album/on-n-on-single/6805772971,"near-empty page (0 text chars, http 404)"
1sakimo,https://youtube.com/@simplysakimo,"near-empty page (169 text chars, http 200)"
_littletins,https://hiiii.me/itslil,"near-empty page (112 text chars, http 200)"
_misslexiii,http://lexi.unrulyverse.be/,"near-empty page (148 text chars, http 200)"
abbey_johnsonxx,https://instagram.com/abbeyleecouture?igshid=OGQ5ZDc2ODk2ZA%253D%253D&utm_source=qr,"near-empty page (9 text chars, http 200)"
adiza.sankofa,http://bouncy.ai/adiza,"near-empty page (171 text chars, http 200)"
adizasankofa,http://bouncy.ai/adiza,"near-empty page (171 text chars, http 200)"
alannaaussiee,https://onlylinks.com/simplyalanna,"near-empty page (199 text chars, http 200)"
aliciadavisxx,http://aliciadavis.net/,"near-empty page (132 text chars, http 200)"
allegraalynn,https://linky.me/allegraalynn,"near-empty page (183 text chars, http 200)"
amber_hazee,http://amberhaze.vip/,"near-empty page (150 text chars, http 200)"
amvicklove,https://youtube.com/@skillettalkpodcast,"near-empty page (176 text chars, http 200)"
angeelaalvarezz,http://angeelaalvarezz.vip/,"near-empty page (14 text chars, http 200)"
angelferrnandezz,http://angelfernandezonline.com/,"near-empty page (42 text chars, http 200)"
ari3s.de.vu,https://www.instagram.com/tequila_comisario?igsh=NTc4MTIwNjQ2YQ%3D%3D,"near-empty page (9 text chars, http 200)"
ashleymariaserrano,https://bouncy.ai/ashleyserrano,"near-empty page (32 text chars, http 200)"
athenakamixo,https://bouncy.ai/athenakami,"near-empty page (18 text chars, http 200)"
awfulgrimbonez,https://twitch.tv/awfulgrimbonez,"near-empty page (6 text chars, http 200)"
babydollslumber,https://youtube.com/@babydollslumber?si=lkGprs3XaEH8Sqh6,"near-empty page (173 text chars, http 200)"
beyonce,https://beyonce.com,"near-empty page (42 text chars, http 200)"
bridgetjeann,http://bridgetjean.com/,"near-empty page (112 text chars, http 200)"
carlossjr13,http://twitch.tv/carlos13sanchez,"near-empty page (6 text chars, http 200)"
catlin.hill,http://catlinhill.com/,"near-empty page (30 text chars, http 200)"
cayleighjoy,https://link.me/cayleighjoyy,"near-empty page (197 text chars, http 200)"
cece_rosee_,https://bouncy.ai/cecerose,"near-empty page (18 text chars, http 200)"
cecerose,https://bouncy.ai/cecerose,"near-empty page (18 text chars, http 200)"
chloewildd.xo,https://wilddchloe.com/exclusive,"near-empty page (98 text chars, http 200)"
clipitfast,https://calendly.com/clipitfastllc/30min,"near-empty page (8 text chars, http 200)"
creators,http://meta.me/metaoneforcreators,"near-empty page (116 text chars, http 400)"
dasha.angel,http://tease.link/dasha,"near-empty page (172 text chars, http 200)"
deadeyeprotectiveservices,https://deadeyeprotectiveservices.com/,"fetch error: HTTPSConnectionPool(host='deadeyeprotectiveservices.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='deadeyeprotectiveservices.com', port=443): Failed to resolve 'deadeyeprotectiveservices.com' ([Errno 8] nodename nor servname provided, or not known)""))"
deenthegreat,https://stake.us/?offer=cob,"fetch error: HTTPSConnectionPool(host='stake.us', port=443): Max retries exceeded with url: /?offer=cob (Caused by NameResolutionError(""HTTPSConnection(host='stake.us', port=443): Failed to resolve 'stake.us' ([Errno 8] nodename nor servname provided, or not known)""))"
dem0nmika,http://bouncy.ai/demonmika,"near-empty page (171 text chars, http 200)"
diriderx,http://dirdr.com/,"near-empty page (57 text chars, http 200)"
evanamariaa,http://tapmysocials.com/evanaa,"near-empty page (18 text chars, http 200)"
ffawty,https://www.youtube.com/watch?v=KRJGN_hAvWw,"near-empty page (195 text chars, http 200)"
francesbentleyxo,http://www.francesbentley.world/,"near-empty page (199 text chars, http 200)"
freezertarps,https://discord.com/invite/yeSjswah3B,"near-empty page (12 text chars, http 200)"
gabbiecarter,https://tapthis.io/gabbie/,"near-empty page (152 text chars, http 200)"
georgeys.eats,https://melbmara2026.grassrootz.com/beyondblue/hayley-george/?tab=donations,"near-empty page (112 text chars, http 200)"
gialoverrr,http://gialover.com/,"near-empty page (9 text chars, http 200)"
gigiibunnyy,http://gigiiwaifu.com,"near-empty page (23 text chars, http 200)"
gigiireels,https://bouncy.ai/gigiibunnyy,"near-empty page (18 text chars, http 200)"
graciebon,http://bonbongirlie.com/,"near-empty page (56 text chars, http 200)"
heralterego.02,http://bouncy.ai/itsmebec,"near-empty page (18 text chars, http 200)"
hollymarshall7,https://depop.app.link/qsWEfRdsO4b,"near-empty page (172 text chars, http 403)"
hybeamerica,https://hybecorp.com,"near-empty page (4 text chars, http 200)"
hybelatinamerica,http://x.com/hybe_latam,"near-empty page (0 text chars, http 500)"
ilovekaylaxx,https://hoo.be/ilovekayla,"near-empty page (75 text chars, http 200)"
